Station ID,Station Code,Station Name,State ID,Station Setting,Station Type
119,DEBB053,Hasenholz (Buckow),4,rural regional,background
120,DEBB048,Neuruppin,4,suburban area,background
121,DEBB021,Potsdam-Zentrum,4,urban area,background
122,DERP047,Trier-Pfalzel,11,suburban area,industry
123,DERP003,Ludwigshafen-Mundenheim,11,urban area,industry
124,DENW338,Duisburg-Bruckhausen,10,urban area,industry
125,DENW181,Warstein,10,urban area,industry
126,DENW116,Krefeld (Hafen),10,suburban area,industry
127,DENW074,Niederzier,10,rural near town,industry
128,DENI070,Salzgitter-Drütte,8,rural area,industry
129,DENI053,Südoldenburg,8,suburban area,industry
130,DEMV031,Rostock-Hohe Düne,9,urban area,industry
131,DEHH015,Hamburg Veddel,6,urban area,industry
132,DEHB013,Bremen-Hasenbüren,5,rural regional,industry
133,DEBB032,Eisenhüttenstadt,4,suburban area,industry
134,DEBB029,Schwedt (Oder),4,suburban area,industry
135,DEMV059,Schwerin Obotr. West,9,urban area,traffic
136,DENW415,Oberhausen Duisburger Straße,10,urban area,traffic
137,DETH091,Mühlhausen Wanfrieder Str,16,urban area,traffic
138,DETH083,Weimar Steubenstr.,16,urban area,traffic
139,DETH081,Erfurt Heinrichstr,16,urban area,traffic
140,DETH043,Erfurt Bergstr.,16,urban area,traffic
141,DEST133,Halle/Riebeckplatz,14,urban area,traffic
142,DEST112,Magdeburg/Guericke-Stra.,14,urban area,traffic
143,DEST108,Weißenfels/Am Krug,14,urban area,traffic
144,DEST103,Magdeburg Schleinufer,14,urban area,traffic
145,DEST102,Halle/Paracelsusstr.,14,urban area,traffic
146,DESN084,Dresden-Bergstr.,13,urban area,traffic
147,DESN083,Chemnitz-Leipziger Str.,13,urban area,traffic
148,DESN061,Dresden-Nord,13,urban area,traffic
149,DESN025,Leipzig-Mitte,13,urban area,traffic
150,DESH053,Lübeck Moislinger Allee,15,urban area,traffic
151,DESH027,Kiel-Bahnhofstr. Verk.,15,urban area,traffic
152,DESH022,Flensburg,15,urban area,traffic
153,DERP046,Neuwied-Hermannstraße,11,urban area,traffic
154,DERP041,Ludwigshafen-Heinigstraße,11,urban area,traffic
155,DERP024,Koblenz-Friedrich-Ebert-Ring,11,urban area,traffic
156,DERP023,Worms-Hagenstraße,11,urban area,traffic
157,DERP010,Mainz-Parcusstraße,11,urban area,traffic
158,DENW355,Leverkusen Gustav-Heinemann-Straße,10,urban area,traffic
159,DENW260,Münster Weseler Straße,10,urban area,traffic
160,DENW212,Köln Turiner Straße,10,urban area,traffic
161,DENW211,Köln Clevischer Ring,10,urban area,traffic
162,DENW208,Gelsenkirchen Kurt-Schumacher-Straße,10,urban area,traffic
163,DENW207,Aachen Wilhelmstraße,10,urban area,traffic
164,DENW188,Oberhausen Mülheimer Straße 117,10,urban area,traffic
165,DENW136,Dortmund Brackeler Straße,10,urban area,traffic
166,DENW082,Düsseldorf Corneliusstraße,10,urban area,traffic
167,DENW043,Essen-Ost Steeler Straße,10,urban area,traffic
168,DENI143,Oldenburg Heiligengeistwall,8,urban area,traffic
169,DENI075,Braunschweig-Verkehr,8,urban area,traffic
170,DENI068,Göttingen-Verkehr,8,urban area,traffic
171,DENI067,Osnabrück-Verkehr,8,urban area,traffic
172,DENI066,Hildesheim Verkehr,8,urban area,traffic
173,DENI048,Hannover Verkehr,8,urban area,traffic
174,DEMV058,Neubrandenburg Woldegker Straße,9,urban area,traffic
175,DEMV027,Wolgast-Oberwallstraße,9,urban area,traffic
176,DEMV025,Stralsund-Knieperdamm,9,urban area,traffic
177,DEMV022,Rostock-Holbeinplatz,9,urban area,traffic
178,DEMV020,Rostock Am Strande,9,urban area,traffic
179,DEHH068,Hamburg Habichtstraße,6,urban area,traffic
180,DEHH064,Hamburg Kieler Straße,6,urban area,traffic
181,DEHE112,Wiesbaden Schiersteiner Straße,7,urban area,traffic
182,DEHE063,Heppenheim Lehrstraße,7,urban area,traffic
183,DEHE062,Marburg Universitätsstraße,7,urban area,traffic
184,DEHE061,Gießen Westanlage,7,urban area,traffic
185,DEHE059,Fulda Petersberger Straße,7,urban area,traffic
186,DEHE041,Frankfurt Friedberger Landstraße,7,urban area,traffic
187,DEHE040,Darmstadt Hügelstraße,7,urban area,traffic
188,DEHE037,Wiesbaden Ringkirche,7,urban area,traffic
189,DEBY121,Oberaudorf/Inntal-Autobahn,2,rural near town,traffic
190,DEBY115,München/Landshuter Allee,2,urban area,traffic
191,DEBY053,Nürnberg/Bahnhof,2,urban area,traffic
192,DEBY037,München/Stachus,2,urban area,traffic
193,DEBY035,Lindau (Bodensee)/Friedrichshafener Straße,2,urban area,traffic
194,DEBY028,Kelheim/Regensburger Straße,2,urban area,traffic
195,DEBY021,Ingolstadt/Rechbergstraße,2,urban area,traffic
196,DEBY014,Coburg/Lossaustraße,2,urban area,traffic
197,DEBY001,Ansbach/Residenzstraße,2,urban area,traffic
198,DEBE065,Berlin Frankfurter Allee,3,urban area,traffic
199,DEBB073,Potsdam,4,urban area,traffic
200,DEBB068,Bernau,4,urban area,traffic
201,DEBB060,Eberswalde,4,urban area,traffic
202,DEBB054,Potsdam,4,urban area,traffic
203,DEBB049,Brandenburg,4,urban area,traffic
204,DEBB045,Frankfurt (Oder),4,urban area,traffic
205,DEBB044,Cottbus,4,urban area,traffic
