Station code,Pollutant_type,Annual_mean_value_ug_m³,year
DENW068,PM2.5,7.5,2024
DENW067,PM2.5,9.1,2024
DENW066,PM2.5,8.9,2024
DENW065,PM2.5,5.1,2024
DENW064,PM2.5,5.2,2024
DENW062,PM2.5,8.2,2024
DENW053,PM2.5,8.4,2024
DENW038,PM2.5,9.5,2024
DENW029,PM2.5,8.1,2024
DENW024,PM2.5,11,2024
DENW022,PM2.5,9.2,2024
DENW010,PM2.5,9.9,2024
DENW008,PM2.5,9.7,2024
DENW006,PM2.5,9.2,2024
DENW002,PM2.5,10,2024
DENI060,PM2.5,7.7,2024
DENI058,PM2.5,8.5,2024
DENI054,PM2.5,7.9,2024
DENI051,PM2.5,4.9,2024
DENI043,PM2.5,7.8,2024
DENI042,PM2.5,7.2,2024
DENI041,PM2.5,8,2024
DENI038,PM2.5,7.7,2024
DENI031,PM2.5,7.8,2024
DENI020,PM2.5,7.7,2024
DENI016,PM2.5,6.7,2024
DENI011,PM2.5,8.2,2024
DEMV028,PM2.5,8.7,2024
DEMV026,PM2.5,7.8,2024
DEMV024,PM2.5,7.9,2024
DEMV021,PM2.5,8.6,2024
DEMV019,PM2.5,8.5,2024
DEMV017,PM2.5,9.3,2024
DEMV012,PM2.5,10,2024
DEMV007,PM2.5,9,2024
DEMV004,PM2.5,8.8,2024
DEHH059,PM2.5,8.8,2024
DEHH008,PM2.5,9,2024
DEHE135,PM2.5,7.6,2024
DEHE134,PM2.5,7.9,2024
DEHE060,PM2.5,6.1,2024
DEHE052,PM2.5,4.9,2024
DEHE051,PM2.5,4.7,2024
DEHE050,PM2.5,6.6,2024
DEHE045,PM2.5,7.8,2024
DEHE044,PM2.5,7.6,2024
DEHE043,PM2.5,8.2,2024
DEHE032,PM2.5,8.4,2024
DEHE030,PM2.5,8.3,2024
DEHE024,PM2.5,6.3,2024
DEHE022,PM2.5,8,2024
DEHE020,PM2.5,8.1,2024
DEHE018,PM2.5,8.4,2024
DEHE013,PM2.5,8.2,2024
DEHE011,PM2.5,8.3,2024
DEHE008,PM2.5,9.3,2024
DEHE005,PM2.5,8.6,2024
DEHB012,PM2.5,8.8,2024
DEHB005,PM2.5,9.2,2024
DEHB002,PM2.5,8.8,2024
DEBY187,PM2.5,8.1,2024
DEBY124,PM2.5,7.6,2024
DEBY118,PM2.5,11,2024
DEBY109,PM2.5,5.6,2024
DEBY099,PM2.5,7,2024
DEBY089,PM2.5,7.4,2024
DEBY088,PM2.5,7.6,2024
DEBY077,PM2.5,7.5,2024
DEBY075,PM2.5,8.9,2024
DEBY072,PM2.5,5.6,2024
DEBY067,PM2.5,7.9,2024
DEBY058,PM2.5,8,2024
DEBY052,PM2.5,7.9,2024
DEBY049,PM2.5,7.4,2024
DEBY039,PM2.5,6.7,2024
DEBY031,PM2.5,6.7,2024
DEBY013,PM2.5,8.1,2024
DEBY012,PM2.5,10,2024
DEBY009,PM2.5,7.8,2024
DEBY007,PM2.5,7.7,2024
DEBY005,PM2.5,7.2,2024
DEBY004,PM2.5,8.1,2024
DEBY002,PM2.5,8.1,2024
DEBW107,PM2.5,7.2,2024
DEBW087,PM2.5,4.3,2024
DEBW084,PM2.5,6.2,2024
DEBW081,PM2.5,6.9,2024
DEBW056,PM2.5,7.5,2024
DEBW052,PM2.5,6.3,2024
DEBW046,PM2.5,7.7,2024
DEBW033,PM2.5,6.7,2024
DEBW031,PM2.5,3.1,2024
DEBW027,PM2.5,7.2,2024
DEBW023,PM2.5,6.4,2024
DEBW019,PM2.5,7.9,2024
DEBW015,PM2.5,8,2024
DEBW013,PM2.5,7.6,2024
DEBE068,PM2.5,10,2024
DEBE051,PM2.5,8.6,2024
DEBE034,PM2.5,11,2024
DEBE010,PM2.5,10,2024
DEBB109,PM2.5,9.9,2024
DEBB092,PM2.5,9.7,2024
DEBB086,PM2.5,9.6,2024
DEBB083,PM2.5,9.9,2024
DEBB075,PM2.5,8.7,2024
DEBB066,PM2.5,8.3,2024
DEBB065,PM2.5,7.3,2024
DEBB064,PM2.5,11,2024
DEBB063,PM2.5,7.9,2024
DEBB055,PM2.5,8.9,2024
DEBB053,PM2.5,8.5,2024
DEBB048,PM2.5,8.3,2024
DEBB021,PM2.5,9.2,2024
DEST015,PM2.5,8.8,2024
DESL003,PM2.5,9.3,2024
DERP047,PM2.5,9.4,2024
DERP003,PM2.5,12,2024
DENW338,PM2.5,10,2024
DENW329,PM2.5,8.1,2024
DENW182,PM2.5,9.1,2024
DENW181,PM2.5,7.8,2024
DENW116,PM2.5,11,2024
DENW074,PM2.5,8.5,2024
DENW058,PM2.5,8.5,2024
DENW034,PM2.5,9.6,2024
DENW021,PM2.5,10,2024
DENI070,PM2.5,7.9,2024
DENI053,PM2.5,9,2024
DEMV031,PM2.5,9.5,2024
DEHH015,PM2.5,8.8,2024
DEHB013,PM2.5,8.9,2024
DEBW022,PM2.5,7,2024
DEBW005,PM2.5,8.7,2024
DEBB032,PM2.5,9.8,2024
DEBB029,PM2.5,9,2024
DENW430,PM2.5,9.5,2024
DEBY200,PM2.5,9.5,2024
DEMV059,PM2.5,9.2,2024
DENW415,PM2.5,10,2024
DEST134,PM2.5,9.8,2024
DEBY198,PM2.5,9.5,2024
DETH091,PM2.5,9.3,2024
DETH083,PM2.5,8.4,2024
DETH081,PM2.5,8.9,2024
DETH072,PM2.5,7.7,2024
DETH043,PM2.5,8.1,2024
DEST112,PM2.5,9.4,2024
DEST108,PM2.5,8.6,2024
DEST103,PM2.5,9.3,2024
DEST102,PM2.5,9.6,2024
DEST092,PM2.5,11,2024
DESN084,PM2.5,9.7,2024
DESN083,PM2.5,8.5,2024
DESN061,PM2.5,9.7,2024
DESN025,PM2.5,10,2024
DESH053,PM2.5,6.5,2024
DESH027,PM2.5,7.9,2024
DESH022,PM2.5,6.7,2024
DERP046,PM2.5,8.9,2024
DERP041,PM2.5,9.7,2024
DERP024,PM2.5,9.1,2024
DERP023,PM2.5,11,2024
DERP020,PM2.5,7.8,2024
DERP010,PM2.5,11,2024
DENW356,PM2.5,8.1,2024
DENW355,PM2.5,8.4,2024
DENW260,PM2.5,9.6,2024
DENW259,PM2.5,9.4,2024
DENW212,PM2.5,9.1,2024
DENW211,PM2.5,9.5,2024
DENW208,PM2.5,11,2024
DENW207,PM2.5,7.7,2024
DENW200,PM2.5,9.5,2024
DENW189,PM2.5,10,2024
DENW188,PM2.5,9.8,2024
DENW136,PM2.5,10,2024
DENW133,PM2.5,10,2024
DENW082,PM2.5,12,2024
DENW043,PM2.5,10,2024
DENI157,PM2.5,8.6,2024
DENI143,PM2.5,9.8,2024
DENI075,PM2.5,8.3,2024
DENI068,PM2.5,8.4,2024
DENI067,PM2.5,8.9,2024
DENI066,PM2.5,8.5,2024
DENI048,PM2.5,8.8,2024
DEMV058,PM2.5,9.2,2024
DEMV027,PM2.5,8.9,2024
DEMV025,PM2.5,8.7,2024
DEMV022,PM2.5,9.6,2024
DEMV020,PM2.5,9.4,2024
DEHH068,PM2.5,10,2024
DEHH064,PM2.5,8.9,2024
DEHE131,PM2.5,9,2024
DEHE116,PM2.5,9.4,2024
DEHE112,PM2.5,8.7,2024
DEHE063,PM2.5,8.5,2024
DEHE062,PM2.5,8.2,2024
DEHE061,PM2.5,8.9,2024
DEHE059,PM2.5,8.6,2024
DEHE049,PM2.5,10,2024
DEHE041,PM2.5,9.6,2024
DEHE040,PM2.5,8.2,2024
DEHE037,PM2.5,8.2,2024
DEBY121,PM2.5,8.5,2024
DEBY115,PM2.5,8.6,2024
DEBY053,PM2.5,8.7,2024
DEBY037,PM2.5,8.8,2024
DEBY035,PM2.5,7.4,2024
DEBY014,PM2.5,9.1,2024
DEBY001,PM2.5,7.9,2024
DEBW156,PM2.5,7,2024
DEBW152,PM2.5,8.7,2024
DEBW147,PM2.5,7.8,2024
DEBW125,PM2.5,8.4,2024
DEBW122,PM2.5,6.5,2024
DEBW118,PM2.5,8.7,2024
DEBW099,PM2.5,9.5,2024
DEBW098,PM2.5,8.9,2024
DEBW080,PM2.5,7.6,2024
DEBE065,PM2.5,12,2024
DEBB073,PM2.5,10,2024
DEBB068,PM2.5,10,2024
DEBB054,PM2.5,9.5,2024
DEBB049,PM2.5,9.7,2024
DEBB045,PM2.5,11,2024
DEBB044,PM2.5,10,2024
